,지역,이용자수,이용금액,거주인구,근무인구,방문인구,년도
0,제주시 노형동,9157.985294117647,271085657.4264706,36141557.571294114,3576852.0539068626,13919984.643786764,2020
1,제주시 이도2동,8583.980501392758,246464163.54038998,34181815.84330362,3996607.8582674097,15998355.37077716,2020
2,제주시 연동,8414.312020460358,281049831.65984654,30004367.046524297,3038955.2741099745,13573546.49092583,2020
3,제주시 아라동,5584.395136778116,121991359.64741641,26650043.536565352,2932500.500422492,9009444.519981762,2020
4,제주시 애월읍,5099.073878627968,169992376.98680738,23426681.27385488,2120949.653435356,13859571.604023747,2020
5,제주시 일도2동,4578.771513353116,146230114.48961425,18235061.730632048,1121260.7645845697,6697780.750620178,2020
6,제주시 화북동,2666.4028268551237,70056992.38162544,16977751.270724382,1435888.5347067139,6390359.440865724,2020
7,제주시 삼양동,3253.479310344828,75944497.93103448,15016339.362037933,598925.7335034482,3359833.267062069,2020
8,제주시 한림읍,3441.130681818182,117994977.98295455,13652331.785230113,1185918.812599432,5973159.184187501,2020
9,제주시 조천읍,3408.804071246819,99998549.70992367,13553067.346307889,1297772.5662035623,7821326.499549618,2020
10,서귀포시 동홍동,2952.733944954128,91497590.18654434,12849562.172394495,1003764.2643853211,4827367.5911467895,2020
11,서귀포시 대정읍,2941.3431952662722,92373642.77514793,12418717.859594675,764977.6576360946,4318645.614553255,2020
12,서귀포시 안덕면,2526.4198895027625,96174566.48066299,9814879.151370166,1231439.5936325965,6707229.616729282,2020
13,서귀포시 남원읍,1970.0329341317365,76030651.45508982,9540723.526149701,751230.1305808383,4692909.289392216,2020
14,서귀포시 대륜동,2637.1768292682927,89853454.49390244,9103490.728817074,911224.3002804877,4916128.501304878,2020
15,제주시 오라동,2130.05625,69228990.053125,9061469.518393751,978087.2823375,7565846.351053124,2020
16,서귀포시 성산읍,2988.6536458333335,95807778.14583333,8939434.768539062,726562.9842708333,5372817.319567708,2020
17,제주시 구좌읍,2520.587537091988,74594389.03264095,8665012.421293767,816641.0253382789,5082957.549008902,2020
18,제주시 외도동,2540.654761904762,63273566.383928575,8063544.395425595,404518.671264881,3167181.288767857,2020
19,제주시 용담2동,7201.081355932203,371756045.1694915,6943443.198159322,1112245.608579661,7632332.032311864,2020
20,서귀포시 표선면,1916.2692307692307,62830270.15088757,6847285.792866863,631910.3552899408,3585833.954766272,2020
21,서귀포시 중문동,2053.0332409972298,73217227.41828255,6786287.437252077,413918.37332132965,3393905.0944819944,2020
22,제주시 삼도1동,1747.0220125786163,49130672.025157236,6407752.4494811315,513432.4001792453,3958753.7824716982,2020
23,제주시 이도1동,1699.490625,64621244.546875,5229167.9517749995,904291.945078125,5774074.8735125,2020
24,서귀포시 대천동,2115.0555555555557,52062794.21875,4956212.857909722,421710.7076041667,3623178.4676736114,2020
25,제주시 한경면,1047.1741741741741,36617013.222222224,4616788.210615615,365621.0683663664,2336883.5018528528,2020
26,제주시 건입동,1810.7190332326284,58908795.39274924,4434021.1683504535,560791.5503081571,4180765.898425982,2020
27,제주시 용담1동,717.203488372093,24329003.98837209,4211040.900790698,316477.679872093,2687180.454069767,2020
28,서귀포시 서홍동,1028.4141414141413,20041817.45117845,4042660.017821549,253747.46853535355,2360832.920218855,2020
29,제주시 삼도2동,1906.9023668639054,74094491.60059172,2973671.446402367,439574.903408284,3476742.275899408,2020
30,제주시 봉개동,1206.9823008849557,36687636.561946906,2799119.492646018,442134.90903097345,2821976.7150752214,2020
31,서귀포시 효돈동,898.7304347826087,21038927.82173913,2597479.179126087,149168.97880869565,1104651.595826087,2020
32,서귀포시 영천동,1869.1673151750972,85071879.07003891,2535503.669486381,502676.2632568093,2495602.576898833,2020
33,제주시 이호동,845.5133079847909,24369559.19771863,2180205.175931559,200022.3305665399,1919997.6560038023,2020
34,서귀포시 예래동,1819.968152866242,104054180.84394905,2149288.8409394906,478162.1583503185,3732605.9422101914,2020
35,서귀포시 중앙동,4511.133738601824,148114622.91185412,1311658.2560030394,399785.73996656534,2792864.772349544,2020
36,서귀포시 정방동,4511.133738601824,148114622.91185412,1235113.612519757,211151.07777811552,2296300.0139361704,2020
37,서귀포시 송산동,7510.846774193548,245681545.07795697,1163677.146387097,76233.53320698925,1042666.8586478494,2020
38,제주시 추자면,275.5057471264368,10304892.885057472,934601.4521149426,55853.747764367814,787697.2545172415,2020
39,제주시 일도1동,1649.8006644518273,71476665.12624584,924815.1785647841,175046.99163122923,1656205.424820598,2020
40,제주시 우도면,949.0542635658915,23574512.472868215,844911.40875969,51391.64474418605,740221.1409573643,2020
41,제주시 도두동,1441.1052631578948,47102197.40977444,811553.3733533835,124891.48315037593,2083340.3751203006,2020
42,서귀포시 천지동,4998.888268156425,152743381.90223464,498965.96596368717,56710.60372346369,1185020.5553938549,2020
0,서귀포시 남원읍,886.2559880239521,39270700.516467065,3904612.4271047907,321973.63736826344,2546603.44926497,2017
1,서귀포시 대륜동,1238.5187861271677,48890993.67774566,3321628.1266054916,439713.9802919075,2775763.92858815,2017
2,서귀포시 대정읍,1265.878048780488,41549736.164634146,5202584.429984757,307007.0652987805,2079488.9414908537,2017
3,서귀포시 대천동,978.3432574430823,28071781.28721541,2230520.9595779334,210512.3158038529,2104952.280084063,2017
4,서귀포시 동홍동,1657.704467353952,56810463.151202746,5184497.426080756,521478.93302061857,2472152.319958763,2017
5,서귀포시 서홍동,551.4188948306595,12754843.401069518,1687656.2435008911,136241.51487700533,1198506.8711622104,2017
6,서귀포시 성산읍,1726.8958944281526,58257162.86803519,3856846.300829912,309385.29268914956,3334316.688815249,2017
7,서귀포시 송산동,3654.5579227696403,139902754.27030626,580857.5104167777,35180.733182423435,603272.6178388814,2017
8,서귀포시 안덕면,1443.1253644314868,48702848.430029154,3554841.7638950436,654104.4222813412,3340145.713957726,2017
9,서귀포시 영천동,694.686230248307,37859413.50790068,1122793.9228510158,312601.5893792325,1484265.66841535,2017
10,서귀포시 예래동,842.1389270976616,49837951.57634113,922438.3600701514,339020.45854332874,2728778.3753823936,2017
11,서귀포시 정방동,2345.4259818731116,92388582.10120846,616377.8936072508,125476.33245166164,1469109.5402537764,2017
12,서귀포시 중문동,1124.308228730823,47750014.83124128,2306946.892400279,244410.68069037658,1960548.846651325,2017
13,서귀포시 중앙동,2345.4259818731116,92388582.10120846,621148.3464833837,224455.6203821752,1563575.9768202417,2017
14,서귀포시 천지동,2547.22024623803,93456509.5745554,254192.5939863201,28824.060495212037,677276.3251969904,2017
15,서귀포시 표선면,908.5036179450072,36478537.41389291,2789149.9583429815,318636.9804934877,2302623.2580709117,2017
16,서귀포시 효돈동,530.6829268292682,14061324.992682926,1213068.0221804879,72583.31086585365,575866.5171414634,2017
17,제주시 건입동,940.2989214175655,35808420.368258856,2282282.0297657936,353934.42058089364,2616504.3463374423,2017
18,제주시 구좌읍,1172.1037037037038,34611989.496296294,3771269.9569525924,444544.5360637037,3011407.326865185,2017
19,제주시 노형동,4732.285534591195,154145562.17735848,16757565.875383649,2133694.1590402517,7537349.878152201,2017
20,제주시 도두동,747.8897959183673,29925964.765306123,405805.03092040814,75644.39506938776,1309652.411477551,2017
21,제주시 봉개동,685.3846153846154,27400212.05982906,1048655.6958675215,350245.83810897433,1591130.726380342,2017
22,제주시 삼도1동,817.4711246200608,26229294.604863223,3013442.2877446814,255119.13948936173,2256127.6594407293,2017
23,제주시 삼도2동,1104.1,50012356.93384615,1376087.4838323076,210609.54313692308,1936858.9020769228,2017
24,제주시 삼양동,1240.5034364261169,31867694.38659794,6319139.378704468,273264.3112749141,1596188.7550068728,2017
25,제주시 아라동,2753.1880877742947,61513511.7492163,10405214.44912069,2116056.9677037615,4920182.289581505,2017
26,제주시 애월읍,2273.042524005487,82504898.6515775,10017577.400662553,1113518.9769986283,7755478.096278464,2017
27,제주시 연동,4448.623737373738,217549901.020202,14394843.542967172,1827880.6823131312,8039695.940547979,2017
28,제주시 오라동,1049.8003120124804,36413118.55850234,4013262.428053042,536001.9182698908,4393584.892212168,2017
29,제주시 외도동,1294.297161936561,35500008.520868115,3005330.7075843075,192047.74331552588,1604761.7652821369,2017
30,제주시 용담1동,397.10227272727275,16208924.022727273,2218595.286949675,188939.7463685065,1623117.411564935,2017
31,제주시 용담2동,5129.98254799302,261827248.91797557,3372655.8736265274,889991.4258726004,4114293.1229301924,2017
32,제주시 우도면,663.0755102040816,15606003.23265306,426150.2695612245,31083.28941836735,441302.973477551,2017
33,제주시 이도1동,825.9734375,35152941.6796875,2212936.831303125,478182.81689218746,2799783.3752343752,2017
34,제주시 이도2동,4669.264705882353,139734107.21288514,17916301.933963586,2493332.170603642,9135130.655257704,2017
35,제주시 이호동,405.7933723196881,12388108.157894736,919032.9473820662,101011.20470565301,1147622.127111111,2017
36,제주시 일도1동,983.0205128205129,48049901.35213675,366108.7092700855,95353.10812991454,1033824.3170854701,2017
37,제주시 일도2동,2302.0833333333335,78380238.98391813,9869578.413134502,616039.5600423977,3921254.5950336256,2017
38,제주시 조천읍,1693.1738525730182,55799107.53685675,5720588.04049096,673265.5851363004,4547347.474304589,2017
39,제주시 추자면,89.44299674267101,3410780.039087948,416834.16182410426,17505.745684039088,390399.51044299675,2017
40,제주시 한경면,485.1660777385159,18949228.664310955,1668574.0835406359,149097.94676501767,1062769.5784893993,2017
41,제주시 한림읍,1529.933908045977,56036684.09195402,5673168.593916667,559051.9487025862,3538248.531752873,2017
42,제주시 화북동,1399.331136738056,40282380.84514003,8353978.267481054,784876.1777166392,3104151.5698171332,2017
0,서귀포시 남원읍,922.1014925373134,38980067.464179106,4047753.356158209,341414.11018059705,2511507.9571597013,2018
1,서귀포시 대륜동,1270.6801736613604,48099739.47612156,4273816.95466136,432237.2164891461,2941292.366755427,2018
2,서귀포시 대정읍,1351.824427480916,44133409.9221374,5437582.69040916,343291.25700763357,2141145.8926183204,2018
3,서귀포시 대천동,1145.5233160621763,30773771.841105353,1982479.1399913644,187534.61878929188,1952885.6726856648,2018
4,서귀포시 동홍동,1636.3799342105262,53757418.97039474,5638030.4841825655,555342.0978486842,2493911.0379523025,2018
5,서귀포시 서홍동,553.5655172413793,12388083.091379311,1646767.1645431037,126006.48063275863,1095905.591163793,2018
6,서귀포시 성산읍,1676.0042492917846,56749739.08356941,4110961.7077322947,312938.4584575071,3154246.1888951845,2018
7,서귀포시 송산동,3710.8623978201636,136635893.30245233,597014.4273474114,41093.15290326976,591791.3812534059,2018
8,서귀포시 안덕면,1518.904694167852,51576901.94736842,4432474.419504979,712106.051374111,3292544.285967283,2018
9,서귀포시 영천동,800.3248259860788,44544285.55452436,1182542.589412993,274219.1827935035,1289336.638099768,2018
10,서귀포시 예래동,946.6228070175439,52921962.71637427,984105.8866315789,312542.17217982456,2643964.543868421,2018
11,서귀포시 정방동,2236.1997019374066,84911741.96274218,629566.5568926975,126627.1155871833,1382311.2671982115,2018
12,서귀포시 중문동,1086.7260273972602,43749844.10410959,2497511.534790411,242470.2796520548,1783481.282179452,2018
13,서귀포시 중앙동,2236.1997019374066,84911741.96274218,670393.51919076,224943.48893591654,1565342.449576751,2018
14,서귀포시 천지동,2491.8714090287276,87771363.95348836,239524.14010670315,27852.37937619699,664173.2854295486,2018
15,서귀포시 표선면,969.0654761904761,37715115.602678575,2921141.250549107,320697.22454464284,2218054.8705625,2018
16,서귀포시 효돈동,466.6765375854214,12880706.892938497,1222956.7091161732,71019.73791571755,546752.0262801822,2018
17,제주시 건입동,991.611197511664,35517064.247278385,2269363.6684136856,321497.65969362366,2358840.8636951786,2018
18,제주시 구좌읍,1162.2666666666667,35757136.25507247,3977576.187685507,466634.9001318841,2820350.3268246376,2018
19,제주시 노형동,4779.253694581281,151598920.2684729,17355565.857623152,2072713.4837253697,7427817.66373399,2018
20,제주시 도두동,733.2093933463797,28121764.56555773,398360.25421917805,78862.01308610567,1292632.7610704503,2018
21,제주시 봉개동,710.9130434782609,27333670.38215103,1058489.5949267733,326907.2921029748,1506457.3612723113,2018
22,제주시 삼도1동,833.8443113772455,25473846.609281436,3062955.9008502997,247124.27278443114,2179627.824297904,2018
23,제주시 삼도2동,1100.490045941807,46890904.627871364,1466316.075454824,203605.61484686064,1946956.3457396629,2018
24,제주시 삼양동,1472.1282495667244,37249743.604852684,6923197.096717504,296222.056169844,1705073.4122582322,2018
25,제주시 아라동,3000.746835443038,64929352.289556965,12034849.610670887,2055664.6096487343,4910198.740786392,2018
26,제주시 애월읍,2370.889645776567,82891347.96321526,10743368.768814715,1117718.9184972753,7625614.395985014,2018
27,제주시 연동,4516.775252525253,212326255.10858586,14957880.578750001,1901669.4733333334,7876591.05225,2018
28,제주시 오라동,1042.4475743348983,36563535.46165884,4289099.594496087,510797.0635101721,4116640.4284147103,2018
29,제주시 외도동,1268.047619047619,34196165.74285714,3208480.679460318,191733.32906031745,1682713.416188889,2018
30,제주시 용담1동,379.39649681528664,14874916.565286623,2159018.032329618,175137.37030732483,1474478.0873025476,2018
31,제주시 용담2동,5116.523978685613,248463911.92362344,3467118.485531084,921506.4267087034,4120820.5133907637,2018
32,제주시 우도면,532.4100580270793,12939940.66344294,422119.06170793035,28782.813953578334,398414.08315860736,2018
33,제주시 이도1동,846.3654434250765,35253573.34862386,2274915.327325688,482323.1677110092,2696743.4942446486,2018
34,제주시 이도2동,4773.417366946779,142204895.77310926,17603350.31844538,2433466.0386008406,8777844.748833332,2018
35,제주시 이호동,403.3071161048689,11439308.170411985,1043854.7369868914,103112.83075468165,1098040.8777247192,2018
36,제주시 일도1동,971.1788079470199,45039737.29801325,459860.1594701987,112373.5242450331,1012679.1008592716,2018
37,제주시 일도2동,2309.8073529411763,77969458.47058824,9764702.681507353,589978.7469588235,3718800.7021161765,2018
38,제주시 조천읍,1730.8129298486933,56353799.873452544,6118377.943775791,657808.11096011,4246799.944583219,2018
39,제주시 추자면,122.0406779661017,4910251.305084745,404910.42053559324,18171.504972881357,438986.8917864407,2018
40,제주시 한경면,509.26666666666665,19942782.40683761,1931738.633817094,168856.1656923077,1113702.8618649573,2018
41,제주시 한림읍,1624.1422413793102,59434997.54597701,6191142.381708333,587068.3410416667,3366741.058125,2018
42,제주시 화북동,1425.3654159869495,39559134.32137031,8423275.921094617,806276.9792528548,3106420.9366933117,2018
0,서귀포시 남원읍,985.5985074626866,41092035.24179105,4260493.875070149,362726.18325522385,2614794.2971417913,2019
1,서귀포시 대륜동,1379.431718061674,48535765.70631424,4427239.441762115,481488.6963920705,2945071.7043333333,2019
2,서귀포시 대정읍,1451.2347560975609,46189156.958841465,5567156.452128049,398339.32008689025,2243214.782234756,2019
3,서귀포시 대천동,1101.7685664939552,28667835.61312608,2100514.8168117446,215190.30118307428,1993402.045196891,2019
4,서귀포시 동홍동,1658.0695792880258,51712209.19417476,5876264.618653722,571128.2455873786,2552033.9794935277,2019
5,서귀포시 서홍동,562.1764705882352,11989017.230103806,1723125.2646124568,130512.52417820068,1202263.1659532872,2019
6,서귀포시 성산읍,1743.4774281805746,56964248.313269496,4212533.274225718,352335.7041025992,3271178.5320793437,2019
7,서귀포시 송산동,4066.060857538036,138482966.87551868,568233.2993886584,44042.80333609958,544483.1618506224,2019
8,서귀포시 안덕면,1482.2450980392157,52393913.65406162,4736795.991282913,688805.0942787115,3541566.1911960784,2019
9,서귀포시 영천동,871.8036809815951,43327783.80572597,1230327.9918650305,297985.3613701432,1354520.9968588958,2019
10,서귀포시 예래동,981.9787234042553,55456194.73556231,997413.1999604864,276403.6630303951,2405148.7828525836,2019
11,서귀포시 정방동,2431.8929110105582,84137398.28657617,657144.0793559577,117822.26125188536,1386733.997306184,2019
12,서귀포시 중문동,1143.962962962963,42982049.62277092,2978114.92214129,221120.79715089162,1858008.8003182441,2019
13,서귀포시 중앙동,2431.8929110105582,84137398.28657617,697809.2621734539,230326.34031070888,1513826.1623046757,2019
14,서귀포시 천지동,2694.413073713491,87222179.44784422,213012.69328094576,28174.295582753824,653938.245286509,2019
15,서귀포시 표선면,1032.2137518684603,38394320.44095665,3070024.3294364726,328269.91402690584,2211896.2656292976,2019
16,서귀포시 효돈동,461.09030837004406,11330964.81277533,1194520.5908259912,79823.65675110131,564502.4265176211,2019
17,제주시 건입동,994.8152671755726,34100925.29312977,2191645.260528244,296868.99545496184,2299639.627432061,2019
18,제주시 구좌읍,1246.5473372781064,37418877.30029586,4133087.00733284,473912.5786804734,2834082.777514793,2019
19,제주시 노형동,4893.498771498772,147070187.6719902,17407254.38847666,2089919.127455774,7519796.823184276,2019
20,제주시 도두동,745.8835341365461,28083268.02008032,375385.89109638555,67906.84882931727,1351793.6069176707,2019
21,제주시 봉개동,713.563245823389,23894232.26968974,1283129.407417661,320584.3186825776,1597840.1416062054,2019
22,제주시 삼도1동,847.6640986132511,25408342.69183359,3045414.78203698,261796.25329429895,2131067.772775038,2019
23,제주시 삼도2동,1083.2946564885497,44573272.52977099,1501571.2562625955,256156.584151145,2028405.6431160304,2019
24,제주시 삼양동,1611.7162872154115,38923784.79334501,6890321.324632225,296990.7033450088,1660326.1069964974,2019
25,제주시 아라동,3052.56904400607,64413651.97268589,12426961.793611532,2026671.9702003035,4938994.446626707,2019
26,제주시 애월읍,2516.6075619295957,84438125.80052151,10994858.807603652,1121360.6361290743,7642311.891117341,2019
27,제주시 연동,4542.491379310345,197490439.60221675,14573535.031514779,1922092.2818448276,7783305.352512315,2019
28,제주시 오라동,1122.1426307448494,39096596.56418384,4433756.899372425,492563.5377321712,4320832.907191759,2019
29,제주시 외도동,1248.6692073170732,32385549.727134146,3481526.1228368906,190993.05850914633,1622622.4103003049,2019
30,제주시 용담1동,395.0347432024169,14494796.750755288,2128371.9279531725,169153.0389410876,1469392.9844697884,2019
31,제주시 용담2동,4872.276041666667,238491159.39756945,3369991.4465034725,881894.8968368056,4801268.921821181,2019
32,제주시 우도면,551.1161048689139,14151026.93445693,407578.6888876404,30186.624958801498,418774.28834082396,2019
33,제주시 이도1동,884.0106870229008,34386852.73129771,2524498.6794366413,475713.85840458015,3120406.1037786263,2019
34,제주시 이도2동,4764.667132867133,138511263.07692307,16474515.672195803,2334349.106011189,8542100.559836363,2019
35,제주시 이호동,410.3747747747748,11916198.07927928,1048092.1133783783,105569.87396756758,1101532.309072072,2019
36,제주시 일도1동,987.8715447154472,42885919.53658537,435056.66580487805,97296.95138048781,989942.9999512195,2019
37,제주시 일도2동,2410.3851963746224,77737493.98791541,9378915.941883685,566527.3333459215,3580999.961596677,2019
38,제주시 조천읍,1818.3711615487316,56752925.61148198,6305843.4075327115,678963.068058745,4509932.821722297,2019
39,제주시 추자면,121.079754601227,5072008.650306748,446341.1609662576,27601.775481595094,467525.9171533743,2019
40,제주시 한경면,514.9500805152979,19471057.731078904,2018900.3518132046,184908.92162962962,1171877.9114557167,2019
41,제주시 한림읍,1719.5043103448277,60156541.72844828,6418589.593000001,634248.5102916666,3338562.088791667,2019
42,제주시 화북동,1506.8434343434344,40977088.23232323,8223817.438161615,847969.9560909091,3187262.242006734,2019
0,서귀포시 남원읍,754.3261390887291,46025481.6882494,5230016.004719425,402562.60979856114,2588160.06471223,2021
1,서귀포시 대륜동,1048.7860962566845,42746235.23262032,5213660.680256,471900.753972,2754940.304868,2021
2,서귀포시 대정읍,1210.7481662591688,42718004.02689487,6829255.291250923,411033.3999409594,2661746.662811808,2021
3,서귀포시 대천동,808.8338368580061,24768145.326283988,2828832.532687783,244156.20426244344,2060528.6997828055,2021
4,서귀포시 동홍동,1070.6234413965087,37728118.513715714,6874741.699722222,519329.21185925923,2630739.21617037,2021
5,서귀포시 서홍동,379.048433048433,9205526.854700854,2406069.484676471,151378.77569327733,1254320.3615,2021
6,서귀포시 성산읍,1150.665948275862,43442969.14224138,5021463.458954983,350816.4881414791,3088497.624138264,2021
7,서귀포시 송산동,2858.883668903803,105297875.97762863,680518.1336013289,41637.31577076412,625712.1008239202,2021
8,서귀포시 안덕면,1090.1803278688524,57277610.98594848,5667226.811535211,731376.1826443662,3839930.699084507,2021
9,서귀포시 영천동,771.0352564102565,45250480.057692304,1336101.5224807693,267282.61073076923,1357714.5056682692,2021
10,서귀포시 예래동,707.4337662337663,58051422.34025974,1180164.4961953126,278428.80403515627,2079770.5967890625,2021
11,서귀포시 정방동,1760.1502590673574,63637535.6865285,682946.4296235741,109584.18663878327,1385508.5738821293,2021
12,서귀포시 중문동,765.6976744186046,34832376.4116279,3830578.819982818,231603.00681443297,1873769.9886219932,2021
13,서귀포시 중앙동,1760.1502590673574,63637535.6865285,653769.3207908745,186692.03254752854,1566481.734608365,2021
14,서귀포시 천지동,1925.2701421800948,65865470.855450235,300668.50405985914,30048.51079225352,674141.960584507,2021
15,서귀포시 표선면,756.4853658536585,28450706.18292683,3722030.602282609,314902.73830434785,2040099.7576231882,2021
16,서귀포시 효돈동,383.1007751937984,11637923.329457365,1429502.3785263158,84391.95814619883,603666.737239766,2021
17,제주시 건입동,675.2924281984334,27321009.5848564,2514717.013092308,303210.42967307696,2212088.9046615385,2021
18,제주시 구좌읍,960.7149877149877,34547887.35626536,4751443.539878676,424117.0511617647,2883483.475227941,2021
19,제주시 노형동,3229.339357429719,117237879.68273093,19422380.173403613,1683284.2912620483,7039660.844307229,2021
20,제주시 도두동,602.788961038961,25870846.16233766,456944.1848647343,63873.88781642512,951422.3925748792,2021
21,제주시 봉개동,502.7420494699647,20534962.1590106,1528594.2885265958,205079.37360106385,1426988.8842978724,2021
22,제주시 삼도1동,612.7941176470588,19308064.2513369,3507793.5080806455,259057.01739112905,2041066.0237217743,2021
23,제주시 삼도2동,773.4734042553191,35626796.11170213,1572807.6478070866,218971.4899448819,1797558.6028661418,2021
24,제주시 삼양동,1128.2034383954156,32409315.143266477,8528794.588957626,305561.031,1666126.3310338983,2021
25,제주시 아라동,2095.230971128609,55894780.774278216,15640388.066370657,1459346.346100386,4777396.284258687,2021
26,제주시 애월읍,2123.65726681128,84377673.94360086,12952569.93651613,1157157.6803451614,7940371.003996774,2021
27,제주시 연동,3077.6589958158997,118823638.68828452,16411262.237917982,1500181.830148265,7016978.85944164,2021
28,제주시 오라동,862.5826558265583,35527782.98644987,4818444.524608871,506570.228625,3907046.759709677,2021
29,제주시 외도동,928.9744897959183,27474515.214285713,4787846.567352941,210219.14648235295,1656889.1604313727,2021
30,제주시 용담1동,265.2369077306733,10118052.157107232,2236416.2988289963,162897.3472230483,1352654.0547434944,2021
31,제주시 용담2동,2793.112359550562,180973424.7949438,3679448.9543849374,569335.8390125523,3467179.579790795,2021
32,제주시 우도면,367.0474683544304,10492200.471518988,475975.4994571429,24233.578123809522,387620.55659999995,2021
33,제주시 이도1동,630.6575342465753,22480133.775342464,3024397.1764696357,459892.3880647773,2896052.4876072877,2021
34,제주시 이도2동,3030.42270531401,106042637.62801932,18777745.223913044,2005077.5758369565,7995506.009452899,2021
35,제주시 이호동,309.8987341772152,11535709.857594937,1161455.6372347418,107225.95033333333,1027834.9540610329,2021
36,제주시 일도1동,598.1620879120879,29689968.73901099,462292.72056378605,92424.20338271606,847865.459308642,2021
37,제주시 일도2동,1558.1557788944724,56530013.63316583,10010181.383380074,555942.0644206642,3382463.2430332103,2021
38,제주시 조천읍,1272.0802469135801,45077979.925925925,7255123.654652174,672589.7865496894,4155731.240934782,2021
39,제주시 추자면,99.4949494949495,4610826.565656566,484733.9918153846,23937.032692307694,380924.6971153846,2021
40,제주시 한경면,418.0962962962963,18774608.861728396,2570243.7150479704,198757.09261254614,1336865.5705645757,2021
41,제주시 한림읍,1325.9489559164733,57008530.21345708,7273738.818375,615502.6814409723,3245203.8351597222,2021
42,제주시 화북동,1013.2479338842975,33690746.23140496,9234448.631946282,649850.0325289257,3159763.7409545453,2021
